resource,points
api,3
aaa,3
local_users,3
banners,3
snmp,3
dns,3
mgmt,3
ntp,3
system,3
vty,3
acls,8
vlans,3
logging,3

interfaces,3
l2_interfaces,5
l3_interfaces,8
dhcp,3
acl_interfaces,3
stp_interfaces,3
stp,3
ipv4,3
static_routes,5

vrfs,3
vrf_interfaces,3
ospf,13
ospf_interfaces,5
bgp,13
bfd,5
route_maps,8
prefix_lists,13

hsrp,3
hsrp_interfaces,3
glbp,3
glbp_interfaces,3
vrrp,3
vrrp_interfaces,3

file,3
ipv6,3
ldp,8
lldp_interfaces,5
lldp,5
mlag,5
ping,3
roles,3
sflow,3
traceroute,3
udld_interfaces,3
udld,3
vpc_interfaces,3
vpc,3
vtp,3
igmp_interfaces,3
igmp,5
pim_interfaces,3
pim,5
qos_interfaces,8
qos,13
rip,8
isis,5